Stock,Diff,Time1,Volatility,Momentum,Time2
3,-4.018270111084078,2,2.128297881833463,-2.009135055542039,1.0
3,2.3254211425780795,1,1.6443210590315294,2.3254211425780795,2.0
3,-7.760343933105489,2,3.880213745247142,-3.8801719665527443,2.0
3,1.5324691772462558,2,0.8602051646348586,0.7662345886231279,1.0
3,-0.20492935180669747,1,0.14490693432667945,-0.20492935180669747,2.0
3,2.1739677429198707,2,1.1206521417701119,1.0869838714599354,1.0
3,-1.9244819641113082,1,1.360814247094312,-1.9244819641113082,2.0
3,3.7955223083496605,2,1.908335229648828,1.8977611541748303,2.0
3,-5.506182861328256,2,2.769210098309963,-2.753091430664128,1.0
3,2.191758728027409,1,1.549807459312983,2.191758728027409,1.0
3,-0.1692649841308338,1,0.11968841809634594,-0.1692649841308338,2.0
3,2.726367187500003,2,1.3988312284717235,1.3631835937500014,1.0
3,-1.4077400207518878,1,0.9954225148213509,-1.4077400207518878,1.0
3,2.1294250488280824,1,1.5057308920548322,2.1294250488280824,1.0
3,-3.6440620422362997,1,2.576740981129787,-3.6440620422362997,3.0
3,4.347921752929622,3,1.9409734639367224,1.4493072509765408,1.0
3,-0.3831207275390369,1,0.2709072644559767,-0.3831207275390369,3.0
3,3.7955429077149034,3,1.563150561138461,1.2651809692383011,2.0
3,-3.27878036499024,2,1.8508300402690578,-1.63939018249512,1.0
3,2.298703765869007,1,1.6254290207850288,2.298703765869007,2.0
3,-2.75309829711901,2,1.4404804684854315,-1.376549148559505,3.0
3,3.4569717407225937,3,1.5493570817639855,1.1523239135741978,1.0
3,-2.271979522705138,1,1.6065321272217785,-2.271979522705138,1.0
3,1.4522827148438324,1,1.026918955866083,1.4522827148438324,1.0
4,2.7370522238990844,2,1.4287281692703693,1.3685261119495422,1.0
4,-2.8431424227627247,1,2.0104052870146725,-2.8431424227627247,1.0
4,0.530450994318187,1,0.3750854951695368,0.530450994318187,5.0
4,-3.628186312588639,5,1.3173582788333487,-0.7256372625177278,1.0
4,1.930777809836357,1,1.3652660822997984,1.930777809836357,1.0
4,-1.294271295720904,1,0.9151880098993506,-1.294271295720904,1.0
4,0.48800381747180666,1,0.34507080857923667,0.48800381747180666,1.0
4,-1.273033835671356,1,0.9001708578831368,-1.273033835671356,1.0
4,0.8486799760299988,1,0.6001073661080487,0.8486799760299988,2.0
4,-3.182615800337274,2,1.7849114662453456,-1.591307900168637,1.0
4,2.4612357399677336,1,1.7403564818298747,2.4612357399677336,1.0
4,-0.9335673939095557,1,0.6601318349280996,-0.9335673939095557,2.0
4,5.686270973899099,2,2.987890216625719,2.8431354869495493,1.0
4,-2.2914817116477337,1,1.6203222572710694,-2.2914817116477337,1.0
4,3.2674754749645416,1,2.3104540657081625,3.2674754749645416,2.0
4,-1.7822681773795352,2,0.963936044479444,-0.8911340886897676,1.0
4,0.5728912353518183,1,0.4050952773996091,0.5728912353518183,1.0
4,-0.4031510786577286,1,0.2850708615615511,-0.4031510786577286,1.0
4,0.5092412775213546,1,0.36008796059545045,0.5092412775213546,4.0
4,-7.256379560990908,4,3.351816501287019,-1.814094890247727,2.0
4,0.9335673939100104,2,0.4745950275893467,0.4667836969550052,1.0
4,-3.076532537287278,1,2.175437019656889,-3.076532537287278,1.0
4,0.9548048539595442,1,0.6751489869446249,0.9548048539595442,1.0
4,-1.1245380748399896,1,0.7951684984218219,-1.1245380748399896,1.0
4,4.476880160245003,1,3.165632319868759,4.476880160245003,6.0
4,-11.18157820268091,6,4.225229711660834,-1.863596367113485,1.0
4,3.3311323686077117,1,2.355466286872519,3.3311323686077117,2.0
4,-1.1881672252308988,2,0.6799486541509552,-0.5940836126154494,2.0
4,3.3099226518113625,2,1.685331635356277,1.6549613259056812,2.0
4,-2.970442338423638,2,1.5014996699414467,-1.485221169211819,4.0
4,3.097735318270921,4,1.2281896681967475,0.7744338295677302,1.0
4,-0.4880107532850104,1,0.34507571293978606,-0.4880107532850104,2.0
4,0.6789675625886389,2,0.35693892555812484,0.33948378129431944,3.0
5,0.29541651407875236,1,0.20889102037957696,0.29541651407875236,3.0
5,-3.117294311523338,3,1.4136022650821916,-1.0390981038411127,1.0
5,1.181735992431669,1,0.8356135338206478,1.181735992431669,3.0
5,-15.751355489095005,3,8.202216101184137,-5.250451829698335,1.0
5,0.5783335367837452,1,0.4089435656473859,0.5783335367837452,1.0
5,-0.3384081522625024,1,0.23929069927362517,-0.3384081522625024,2.0
5,1.2945556640625,2,0.7276136044904155,0.64727783203125,1.0
5,-3.4557469685870643,1,2.4435821155527684,-3.4557469685870643,7.0
5,6.159458160400405,7,2.3762099331497355,0.879922594342915,6.0
5,-6.145133972167912,6,2.175101300115663,-1.0241889953613186,2.0
5,3.720766703287495,2,1.9270316518864203,1.8603833516437476,1.0
5,-1.6741879781087476,1,1.1838296723016906,-1.6741879781087476,2.0
5,0.5157025655112477,2,0.27857747591700915,0.25785128275562386,1.0
5,-1.5184084574383263,1,1.0736769168656457,-1.5184084574383263,3.0
5,2.6228968302412454,3,1.2675523134506559,0.8742989434137485,1.0
5,-0.28861999511750014,1,0.20408515573361258,-0.28861999511750014,3.0
5,2.1583620707195905,3,0.9541899577440467,0.7194540235731969,3.0
5,-1.6954739888508499,3,0.9128468451028323,-0.5651579962836166,3.0
5,2.4451510111491785,3,1.1317903157293445,0.8150503370497262,1.0
5,-1.2234814961754097,1,0.8651320626018951,-1.2234814961754097,5.0
5,3.7503751118979096,5,1.4643492863321277,0.7500750223795819,3.0
5,-1.9042460123700096,3,0.9330500240631646,-0.6347486707900032,1.0
5,0.7697168986004215,1,0.5442720385942362,0.7697168986004215,3.0
6,-2.5773254394528067,3,1.1142963771291234,-0.8591084798176022,2.0
6,3.1561218261715993,2,1.582049208303511,1.5780609130857997,1.0
6,-0.6873168945312074,1,0.4860064369470958,-0.6873168945312074,1.0
6,2.27891845703121,1,1.6114386947379524,2.27891845703121,1.0
6,-1.3655151367187983,1,0.9655650129867378,-1.3655151367187983,3.0
6,3.5359252929687983,3,1.7215775112385554,1.1786417643229328,1.0
6,-1.55544433593721,1,1.0998652376994076,-1.55544433593721,1.0
6,1.238952636718409,1,0.8760718109925401,1.238952636718409,2.0
6,-0.4250610351560056,2,0.2356536858185841,-0.2125305175780028,3.0
6,1.7724853515623948,3,0.7305646775151032,0.5908284505207982,1.0
6,-1.166564941406392,1,0.8248859807629473,-1.166564941406392,2.0
6,0.8409912109375881,2,0.4247602995267319,0.42049560546879405,2.0
6,-1.202722167968787,2,0.6465786110152294,-0.6013610839843935,1.0
6,0.9223754882812045,1,0.6522179625638926,0.9223754882812045,2.0
6,-5.181774902343619,2,2.7278924740326267,-2.5908874511718096,2.0
6,4.295568847656412,2,2.2225815848965564,2.147784423828206,2.0
6,-2.69493408203121,2,1.4547255300576427,-1.347467041015605,2.0
6,2.7039672851560113,2,1.4761601917745506,1.3519836425780056,3.0
6,-4.693481445312415,3,2.175183657735674,-1.5644938151041383,2.0
6,0.11752929687482094,2,0.06540404771061445,0.05876464843741047,1.0
