Stock,Diff,Time1,Volatility,Momentum,SMA_3,SMA_10,MA_Diff,RSI,Time2
7,5.832815987723137,15,1.7316010305464862,0.38885439918154246,101.99804396856389,101.3149396623883,0.6831043061755935,58.837137689958425,1.0
7,-2.792567661830276,1,1.9746435306024495,-2.792567661830276,101.87279110863085,101.42539149693071,0.44739961170013487,47.616405142384096,4.0
7,4.890563964843707,4,2.130256789877664,1.2226409912109268,104.37691243489571,102.41119123186374,1.9657212030319755,62.4635340672678,1.0
7,-3.6095668247768486,1,2.5523491789457045,-3.6095668247768486,103.81801641555047,102.3303466796874,1.4876697358630793,49.73765339686235,6.0
8,-18.757316589355625,10,5.815071581721018,-1.8757316589355626,90.28462727864542,96.87270660400364,-6.588079325358223,17.920971350343166,2.0
8,3.119361877441875,2,1.5620289624210115,1.5596809387209376,87.29250081380188,93.92057800292943,-6.628077189127552,17.920971350343166,8.0
8,-4.57194519043,8,1.414457595303355,-0.57149314880375,85.01522827148416,86.2960090637205,-1.2807807922363423,23.316513681098527,1.0
8,2.723930358886875,1,1.9261096282488155,2.723930358886875,85.33740997314437,86.28200454711893,-0.9445945739745554,34.669411037598664,10.0
8,-8.67706298828125,10,2.3607836000592246,-0.867706298828125,81.54988606770813,83.20136795043932,-1.65148188273119,26.078657682594113,2.0
8,2.265365600585625,2,1.1565695986500786,1.1326828002928124,79.64422607421854,82.15984497070295,-2.515618896484412,34.223871620074476,2.0
8,-3.182502746581875,2,1.5920349732325847,-1.5912513732909375,79.07948303222626,80.90606384277325,-1.8265808105469858,28.946761038412447,3.0
8,6.389724731445625,3,2.861150685695511,2.1299082438152084,80.76821136474604,80.410698699951,0.3575126647950384,48.683026936248396,2.0
8,-1.78985595703125,2,0.939512006358198,-0.894927978515625,83.11930592854812,80.33426589965806,2.7850400288900516,44.56533827556084,3.0
8,2.858238220214375,3,1.2538811119454276,0.9527460734047916,84.35509745279917,81.74752731323225,2.607570139566917,51.990909065335515,9.0
9,-4.227244059244171,9,1.6048898435300414,-0.46969378436046344,96.32746378580721,98.20732625325492,-1.8798624674477082,66.90470593480131,3.0
9,8.992299397785828,3,3.8781556695057713,2.997433132595276,102.4267544216575,98.94614664713508,3.4806077745224258,66.90470593480131,2.0
9,-3.2874145507808237,2,1.7019071354237618,-1.6437072753904118,103.61629570855,99.93463948567684,3.6816562228731584,55.783011479500395,3.0
9,4.712219238280824,3,1.9709180015705239,1.570739746093608,105.35185072157083,102.149973551432,3.201877170138829,67.71325936208406,9.0
9,-15.869110107421662,9,5.7624415742404045,-1.7632344563801847,92.13545396592833,98.839521280924,-6.704067314995669,27.169130606573063,4.0
9,5.244415283203338,4,2.4386373417476186,1.3111038208008345,94.29121907552057,94.45036926269492,-0.15915018717434748,44.62478048223759,1.0
9,-2.207977294921676,1,1.5612757179450467,-2.207977294921676,94.95360989040778,93.84251607259075,1.1110938178170215,39.85486713992908,15.0
9,12.036305745442505,15,3.38623294844235,0.8024203830295004,104.36676364474806,102.18187052408824,2.1848931206598223,63.28847173610343,10.0
10,-2.5704345703125,4,1.4573592436496365,-0.642608642578125,103.46992323133667,102.93355407714833,-0.8976009792751398,51.551288759434364,1.0
10,2.1221415201824954,1,1.500580659558571,2.1221415201824954,102.93184407552069,102.93355407714833,-0.8976009792751398,51.551288759434364,5.0
10,-2.3586324055991668,5,0.8823114384657802,-0.47172648111983334,101.5479125976561,102.6528615315754,-1.104948933919303,51.551288759434364,2.0
