Day,Close,High,Low,Open,SMA_3,SMA_10,MA_Diff,Volatility,RSI,Daily_Return,Next_Day_Close,Target,Stock
17,103.86030349731438,104.4127069767495,100.21624188567931,100.7062709809725,102.0249114990234,103.57252418518063,-1.5476126861572226,1.9228851669007605,58.725740677430046,0.03131910772462798,103.9137725830077,1,3
18,103.9137725830077,105.31259445632797,102.2833035289242,104.15433815983764,102.82678298950187,103.60192634582513,-0.7751433563232695,1.4908224262245142,58.8746975337698,0.0005148173449609494,103.85139770507807,0,3
19,103.85139770507807,105.27695427394494,103.20099380827327,103.2722729962281,103.87515792846672,103.58232673645014,0.29283119201657826,1.5425297886271636,58.60896977086409,-0.000600256119849818,104.5285400390625,1,3
20,104.5285400390625,105.82935467557176,103.72666614051349,103.98504810768804,104.09790344238276,103.66251457214351,0.435388870239251,1.5170255334872693,60.683582876973,0.006520300630978637,103.73558120727535,0,3
21,103.73558120727535,105.44624104967335,102.9515304788991,103.67321361294492,104.03850631713864,103.7079540252685,0.33055229187013424,0.31458978916771796,57.07581677345465,-0.0075860509626445305,100.51026992797843,0,3
22,100.51026992797843,103.00498731670248,99.67276319691834,102.99607571813725,102.92479705810543,103.16446243286127,-0.2396653747558446,1.5939007718023288,45.283205139207276,-0.031091658635934993,102.8356910705565,1,3
23,102.8356910705565,103.31681538356946,98.59468143298896,98.8976077795764,102.36051406860342,102.89717193603511,-0.5366578674316855,1.5640934213393332,52.84763208483701,0.023136154586435698,98.98670654296866,0,3
24,98.98670654296866,103.67320784832846,97.4720611662741,103.67320784832846,100.77755584716787,102.44366935729974,-1.666113510131865,2.3093363871365686,42.39937075800638,-0.037428488956689376,95.07534713745102,0,3
25,95.07534713745102,98.00663738025834,93.9794585442858,97.40968949308338,98.96591491699206,101.80038825988761,-2.8344733428955493,3.4377861095353075,34.85747307478333,-0.039513986696989245,96.51871719360342,1,3
26,96.51871719360342,98.70158951498826,95.10207230611944,96.01086490508429,96.86025695800771,101.3816326904296,-4.5213757324218875,3.0952746858016997,39.158348557596575,0.015181328279198603,96.60781631469727,1,3
27,96.60781631469727,98.54121836135089,94.71895866135378,95.51192091638796,96.0672935485839,100.6563839721679,-4.589090423583997,3.0431623591909878,39.42422000212942,0.0009231279039394469,96.40288696289058,0,3
28,96.40288696289058,97.08893721180594,94.44275698967478,96.2692469901018,96.50980682373041,99.90529541015619,-3.3954885864257704,1.4139030799451016,39.00206327545477,-0.002121250222022919,97.01766128540034,1,3
29,97.01766128540034,97.71261635746404,95.44064837552946,95.51192076422406,96.67612152099605,99.22192176818841,-2.5458002471923606,0.7356949790838745,41.04169532676563,0.006377136016127993,98.57685470581045,1,3
30,98.57685470581045,99.69056646522859,95.26244742217297,95.33372660618959,97.33246765136711,98.6267532348632,-1.294285583496091,0.8980111074942994,45.97565036109788,0.01607123280186462,96.65237274169914,0,3
31,96.65237274169914,99.96677351656705,95.85049884553854,98.89761285339121,97.41562957763664,97.91843238830559,-0.5028028106689533,0.8810091781987082,41.37340279458014,-0.019522655392634203,98.20266036987294,1,3
32,98.20266036987294,99.12035787653629,94.99517149697533,95.47629584754367,97.81062927246084,97.68767143249502,0.12295783996582088,0.9649170254249384,46.05780155167629,0.01603983000310727,100.4478950500488,1,3
33,100.4478950500488,101.30322491622252,98.02445703044418,98.02445703044418,98.43430938720697,97.44889183044427,0.9854175567626982,1.4988353919971018,52.03524582937388,0.02286327754990891,98.21155929565428,0,3
34,98.21155929565428,101.39231976046506,97.48096466444586,100.9468350634464,98.95403823852534,97.37137710571282,1.5826611328125182,1.355741209399793,46.50725231782901,-0.02226363980330548,94.94171218872054,0,3
35,94.94171218872054,97.81063520061564,94.3714922258349,97.61462081383158,97.86705551147456,97.35801361083978,0.5090419006347844,2.0475948326316495,39.84240004085139,-0.033293912960797756,97.13347091674795,1,3
36,97.13347091674795,97.6502347465329,94.15763669240171,95.29807631844005,96.76224746704092,97.41948898315422,-0.6572415161133023,1.9972574033946446,45.482134684301016,0.023085308633056245,96.96420593261712,0,3
37,96.96420593261712,97.82844737832755,95.86831052884176,96.5810888009379,96.34646301269521,97.45512794494621,-1.1086649322510027,2.0096485697711053,45.13025433567839,-0.0017426020354601723,98.87087631225582,1,3
38,98.87087631225582,99.43218459228241,96.68799718370461,97.1691214798233,97.65618438720696,97.70192687988273,-0.04574249267577102,1.4976648832693265,49.83809120937516,0.019663651770259305,99.69057312011712,1,3
39,99.69057312011712,100.29643262958726,98.18483254564914,99.17380919783665,98.50855178833001,97.96921806335442,0.5393337249755916,1.8467629893622102,51.75458243818222,0.008290578969610163,98.28283309936523,0,3
40,98.28283309936523,99.07579532769714,97.68588522815915,98.89760416534092,98.94809417724605,97.9398159027099,1.0082782745361527,1.1557186178764296,48.338856253038244,-0.014121094670162093,100.41225814819332,1,3
41,100.41225814819332,100.8577428902838,96.48308625768432,97.09785737698787,99.46188812255855,98.31580444335931,1.1460836791992364,1.3252712852365078,53.35389413721637,0.0216662969684156,96.76819610595702,0,3
42,96.76819610595702,100.41225802910839,96.40289535504823,100.41225802910839,98.48776245117186,98.17235801696772,0.3154044342041402,1.3958050146398369,45.257227892902215,-0.03629100778570493,97.49880065917962,1,3
43,97.49880065917962,98.00665304395967,94.7991639402144,95.93960390620758,98.22641830444331,97.8774485778808,0.34896972656251535,1.509821248161151,46.99401396563098,0.0075500482867596475,97.67697143554673,1,3
44,97.67697143554673,98.89760194268058,96.31378936124335,98.0066325558096,97.31465606689444,97.82398979187005,-0.5093337249756047,1.3865599163050062,47.43201951846944,0.001827415057031656,101.11611785888664,1,3
45,101.11611785888664,101.46359538986634,98.19373924061838,98.37193720365755,98.763963317871,98.44143035888666,0.32253295898433976,1.9358870118520972,55.13806514947417,0.03520938838290322,100.7329971313476,0,3
46,100.7329971313476,101.74870169288081,100.02022569736398,101.61506172232926,99.84202880859367,98.80138298034663,1.0406458282470368,2.0108988585861867,54.18513706771783,-0.0037889184795810715,102.301096343994,1,3
47,102.301096343994,102.99605132118563,99.39653447753754,100.50134132094821,101.38340377807607,99.33507202148431,2.0483317565917645,2.1586829572686925,57.42818481341631,0.015566887289194087,102.79116210937501,1,3
48,102.79116210937501,103.70885968218097,102.17639092863529,102.6486037148319,101.9417518615722,99.72710060119623,2.214651260375973,1.9999546245699078,58.41881002459116,0.004790425351191896,104.5285400390625,1,3
49,104.5285400390625,104.95620838414116,101.96255036126358,102.10510194458455,103.2069328308105,100.21089729309077,2.9960355377197345,1.5053675630944185,61.811501805070634,0.016902016613440374,104.377072906494,0,3
50,104.377072906494,105.66006429804877,104.06523495707297,104.4305288985213,103.89892501831052,100.82032127380366,3.0786037445068644,1.5723914654623112,61.34159541922372,-0.0014490504938832194,101.24975967407227,0,3
51,101.24975967407227,104.5107108636633,100.85773097213928,103.58410189390327,103.38512420654293,100.90407142639154,2.481052780151387,1.3978484355069527,52.47193848732627,-0.029961687421751537,103.54846343994127,1,3
52,103.54846343994127,104.37706524331549,101.4190471448019,101.4190471448019,103.05843200683584,101.58209815978996,1.476333847045879,1.3410375781278103,57.353224578229856,0.022703300958625938,101.43687057495102,0,3
53,101.43687057495102,105.00965997459733,100.79537148301321,104.59090324527372,102.0783645629882,101.97590515136712,0.10245941162108352,1.584008500003004,52.06354065359284,-0.02039231481416426,100.79536514282226,0,3
54,100.79536514282226,101.41013620018548,99.45000625149954,101.30321742573528,101.9268997192382,102.28774452209466,-0.36084480285646237,1.579802673113062,50.538542115203576,-0.006324183982536646,101.3834152221678,1,3
55,101.3834152221678,102.05164231422211,100.32315939422352,101.03593767810426,101.20521697998036,102.31447425842278,-1.1092572784424135,1.0730653690336276,51.928563513580976,0.005834098408317612,102.8356910705565,1,3
56,102.8356910705565,102.99606584156082,100.3409807186151,100.67954665848768,101.67149047851552,102.52474365234366,-0.8532531738281364,1.1450496997303883,55.27171678230372,0.01432458992633312,104.25233688354486,1,3
57,104.25233688354486,104.58199122845616,101.7487081154538,101.7487081154538,102.82381439208973,102.71986770629874,0.1039466857909872,1.3982850998578704,58.31698247031288,0.013775818475478374,101.98035736083972,0,3
58,101.98035736083972,104.7780007509366,101.67743102572872,104.72454476181288,103.02279510498037,102.6387872314452,0.3840078735351682,1.3501874236934528,52.18101186781213,-0.021793080046186963,103.43264007568355,1,3
59,103.43264007568355,103.78902921480918,102.00709031673851,102.20310468313542,103.22177810668938,102.52919723510733,0.6925808715820523,1.1387103928901552,55.41062879954988,0.014240808253938475,101.69525527954093,0,3
60,101.69525527954093,104.24342852051365,100.60827143299993,104.16324453063318,102.3694175720214,102.26101547241201,0.10840209960939262,1.0482556312988174,50.975167217102985,-0.016797258533392756,102.61295700073237,1,3
61,102.61295700073237,103.35246332663863,101.30323073131134,101.94472986715493,102.58028411865229,102.39733520507802,0.1829489135742648,1.0531661750504666,53.110246027359565,0.00902403675244079,105.54423980712876,1,3
14,99.67946832830226,102.18312857100499,98.25790462041135,101.41929991263726,100.3654896129259,101.13921980424341,-0.7737301913175116,0.852741479000621,36.198497176629,-0.01261022568418968,100.52814830433226,1,4
15,100.52814830433226,102.26797959281681,99.87041336665409,100.10379984129136,100.38670626553603,100.84641682017914,-0.4597105546431095,0.7596890312454663,41.830781422202925,0.00851409011567772,97.536503184925,0,4
16,97.536503184925,101.58902609138727,96.92119269332773,101.31320216242862,99.24803993918651,100.35629549893444,-1.1082555597479313,1.3631556227449406,31.331027948481847,-0.029759278071556206,97.34553250399499,0,4
17,97.34553250399499,99.87041097875226,96.77266597761317,98.02449261864363,98.47006133108408,99.96377147327749,-1.4937101421934074,1.678619043905655,30.799569787392514,-0.001957940613966147,99.80676824396272,1,4
18,99.80676824396272,100.5705968568718,96.98485324284908,98.02450579720454,98.2296013109609,99.8449547507544,-1.6153534397934948,1.442630352159526,43.98685979042906,0.025283499680549992,98.87320085005317,0,4
19,98.87320085005317,101.84364036056954,97.57893662546181,100.57059485606273,98.67516719933697,99.67733834006549,-1.002171140728521,1.3888584886586746,40.81005120600005,-0.009353748351290103,103.30762689763817,1,4
20,103.30762689763817,104.15632378153771,100.14623230012181,100.14623230012181,100.66253199721803,100.02530184659068,0.6372301506273459,2.4188108448171257,56.77800648251431,0.0448496256767299,104.55947182395226,1,4
21,104.55947182395226,105.11112619013863,102.48016668414681,103.05303977115682,102.2467665238812,100.30537206476363,1.941394459117575,3.0435145835436295,60.054205020832434,0.012117642848910704,102.26799011230453,0,4
22,102.26799011230453,104.38973264575499,99.997723011495,103.11668712568454,103.37836294463166,100.4857212413439,2.892641703287765,2.3790189016841827,52.24728560943893,-0.021915582315736315,105.53546558726907,1,4
23,105.53546558726907,106.53268710440089,98.91563319017408,100.99493815030999,104.12097584117528,100.94401758367344,3.1769582575018376,2.57292879182726,60.19366188739255,0.031950128983432524,104.00781111283726,0,4
24,104.00781111283726,107.65720401808545,103.28641354402681,106.04467855993227,103.93708893747028,101.37685186212695,2.5602370753433235,1.23786846261764,55.54020173841259,-0.014475271094232967,103.75319740988954,0,4
